Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
XLCOnlineApproval Positivecase,Chrome 126.0.0.0,,,2024-06-18 17:51:04,2024-06-18 17:51:37,32.739s,PASSED
,,,,,,,
Test Cases/MAIN/WebSupport/XLCApproval Searching,Chrome 126.0.0.0,,,2024-06-18 17:51:20,2024-06-18 17:51:25,4.744s,PASSED
"click(findTestObject(""Comet/mainMenu"", [""txt"":""Customer Support""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:20,2024-06-18 17:51:21,0.505s,PASSED
"click(findTestObject(""Comet/mainMenu child"", [""txtMenu"":""Center Approval""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:21,2024-06-18 17:51:21,0.605s,PASSED
"click(findTestObject(""Comet/p-dropdown fcn"", [""ddName"":""serviceType""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:21,2024-06-18 17:51:23,1.171s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""Comet/p-dropdownitem li""), idxService)",Chrome 126.0.0.0,,,2024-06-18 17:51:23,2024-06-18 17:51:23,0.559s,PASSED
"click(findTestObject(""Comet/btn containsText"", [""txtBtn"":""Search""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:23,2024-06-18 17:51:24,0.828s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-06-18 17:51:24,2024-06-18 17:51:25,0.545s,PASSED
,,,,,,,
Test Cases/MAIN/WebSupport/XLCApproval Searching,Chrome 126.0.0.0,,,2024-06-18 17:51:25,2024-06-18 17:51:32,7.071s,PASSED
"click(findTestObject(""Comet/mainMenu"", [""txt"":""Customer Support""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:25,2024-06-18 17:51:28,3.557s,PASSED
"click(findTestObject(""Comet/mainMenu child"", [""txtMenu"":""Center Approval""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:28,2024-06-18 17:51:29,0.578s,PASSED
"click(findTestObject(""Comet/p-dropdown fcn"", [""ddName"":""serviceType""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:29,2024-06-18 17:51:30,1.173s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""Comet/p-dropdownitem li""), idxService)",Chrome 126.0.0.0,,,2024-06-18 17:51:30,2024-06-18 17:51:30,0.512s,PASSED
"click(findTestObject(""Comet/btn containsText"", [""txtBtn"":""Search""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:30,2024-06-18 17:51:31,0.738s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-06-18 17:51:31,2024-06-18 17:51:32,0.494s,PASSED
,,,,,,,
Test Cases/MAIN/WebSupport/XLCApproval Searching,Chrome 126.0.0.0,,,2024-06-18 17:51:32,2024-06-18 17:51:37,4.875s,PASSED
"click(findTestObject(""Comet/mainMenu"", [""txt"":""Customer Support""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:32,2024-06-18 17:51:33,1.202s,PASSED
"click(findTestObject(""Comet/mainMenu child"", [""txtMenu"":""Center Approval""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:33,2024-06-18 17:51:34,0.595s,PASSED
"click(findTestObject(""Comet/p-dropdown fcn"", [""ddName"":""serviceType""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:34,2024-06-18 17:51:35,1.241s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""Comet/p-dropdownitem li""), idxService)",Chrome 126.0.0.0,,,2024-06-18 17:51:35,2024-06-18 17:51:35,0.564s,PASSED
"click(findTestObject(""Comet/btn containsText"", [""txtBtn"":""Search""]))",Chrome 126.0.0.0,,,2024-06-18 17:51:35,2024-06-18 17:51:36,0.786s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-06-18 17:51:36,2024-06-18 17:51:37,0.471s,PASSED
